,I1,I2,V1,V2,a1,a2,b1,b2,gammaTuple,harmonic,power,Pin,Pout,Gain,Pdc1,Pdc2,PAE,drainEff,Load Gamma,r,x
1387,,,,,(-1.9123e-09-5.6199e-11j),(-6.6534e-09+2.7453e-09j),(-0.0092798-0.009852j),(-0.046986-0.019566j),"(52,)",2,4,-10.381600208593486,1.123557052830761,11.505157261424248,,,,,(9.994242737797782e-08-1.0004625918523632e-07j),9.994242737797782e-08,-1.0004625918523632e-07
1388,,,,,(-1.8836e-10+1.0437e-09j),(-2.81e-12+3.656e-09j),(-0.0061618+0.0042792j),(-0.018305+0.018258j),"(52,)",3,4,-15.506810625969385,-4.7597562879453985,10.747054338023984,,,,,(9.994004758232683e-08-1.0004340951881327e-07j),9.994004758232683e-08,-1.0004340951881327e-07
1389,7.3315e-08,0.015791,-0.3,3.0,(0.11233+9.6798e-09j),(-0.18094+0.14812j),(-0.07132-0.086828j),(-0.029013+0.29085j),"(52,)",1,5,-24.193552973819695,11.86909157297796,36.06264454679766,-2.1994500000000002e-08,0.047373,32.47026128068721,32.46222391341059,(0.5656937387643384+0.5656782793784777j),0.5656937387643384,0.5656782793784777
1390,,,,,(-2.2127e-09-2.3275e-10j),(-7.9519e-09+2.6047e-09j),(-0.0099023-0.012228j),(-0.052773-0.026765j),"(52,)",2,5,-9.073152627630991,2.4320611964242276,11.505213824055218,,,,,(9.994155056702947e-08-1.0004425749770798e-07j),9.994155056702947e-08,-1.0004425749770798e-07
1391,,,,,(-3.2099e-10+1.1794e-09j),(-3.6945e-10+4.199e-09j),(-0.0075059+0.0042977j),(-0.022853+0.019137j),"(52,)",3,5,-14.27077538971573,-3.52380199547477,10.746973394240962,,,,,(9.994469914022507e-08-1.0004630869266671e-07j),9.994469914022507e-08,-1.0004630869266671e-07
1392,1.3603e-07,0.013806,-0.3,3.0,(0.12604+9.5876e-09j),(-0.18769+0.14759j),(-0.07141-0.10164j),(-0.035441+0.29635j),"(52,)",1,6,-6.420614386546354,12.050560013354328,18.47117439990068,-4.0809e-08,0.041418,38.16340586339261,38.71389586773867,(0.565677644377457+0.565688606733992j),0.565677644377457,0.565688606733992
1393,,,,,(-2.4165e-09-4.5497e-10j),(-8.9885e-09+2.1564e-09j),(-0.0098084-0.014349j),(-0.055711-0.034191j),"(52,)",2,6,-8.208814101552612,3.2967647095799943,11.505578811132606,,,,,(9.994262484965496e-08-1.000437666930149e-07j),9.994262484965496e-08,-1.000437666930149e-07
1394,,,,,(-4.4913e-10+1.3242e-09j),(-7.1544e-10+4.7686e-09j),(-0.0088708+0.0043822j),(-0.027432+0.020253j),"(52,)",3,6,-13.102705076060804,-2.355628338037447,10.747076738023358,,,,,(9.994370216138372e-08-1.0004520997832807e-07j),9.994370216138372e-08,-1.0004520997832807e-07
1395,2.1085e-07,0.012843,-0.3,3.0,(0.14142+9.3664e-09j),(-0.19336+0.14587j),(-0.070635-0.11837j),(-0.041975+0.29983j),"(52,)",1,7,-3.015269933888289,12.174021183866586,15.189291117754873,-6.3255e-08,0.038529,41.52057768174612,42.8168172350697,(0.5657050836577108+0.5657023283642985j),0.5657050836577108,0.5657023283642985
1396,,,,,(-2.4975e-09-6.8929e-10j),(-9.6398e-09+1.4712e-09j),(-0.0090403-0.015953j),(-0.055538-0.040874j),"(52,)",2,7,-7.743996923293453,3.761345287548666,11.50534221084212,,,,,(9.99423891551829e-08-1.0004402777069658e-07j),9.99423891551829e-08,-1.0004402777069658e-07
1397,,,,,(-5.8353e-10+1.4795e-09j),(-1.0748e-09+5.375e-09j),(-0.010313+0.0044872j),(-0.032262+0.021486j),"(52,)",3,7,-11.989637335065249,-1.2421989697760623,10.747438365289188,,,,,(9.994273725916597e-08-1.0004433535582295e-07j),9.994273725916597e-08,-1.0004433535582295e-07
1398,2.9678e-07,0.012308,-0.3,3.0,(0.15868+9.1122e-09j),(-0.19787+0.14444j),(-0.069184-0.13664j),(-0.047228+0.30257j),"(52,)",1,8,-0.648891851078235,12.274192445690629,12.923084296768865,-8.903399999999999e-08,0.036924,43.388055790271814,45.72045063373417,(0.5656721108222534+0.5656688949667403j),0.5656721108222534,0.5656688949667403
1399,,,,,(-2.5475e-09-8.8381e-10j),(-1.0097e-08+8.8828e-10j),(-0.008322-0.017147j),(-0.054908-0.046076j),"(52,)",2,8,-7.407941339384711,4.097544884844751,11.50548622422946,,,,,(9.9939481478282e-08-1.0004173433003062e-07j),9.9939481478282e-08,-1.0004173433003062e-07
1400,,,,,(-7.4354e-10+1.6128e-09j),(-1.5403e-09+5.9155e-09j),(-0.011769+0.0043364j),(-0.037293+0.021859j),"(52,)",3,8,-11.042633782624481,-0.2951743259407024,10.747459456683778,,,,,(9.994163997135949e-08-1.0004225167902967e-07j),9.994163997135949e-08,-1.0004225167902967e-07
1401,3.9931e-07,0.011984,-0.3,3.0,(0.17804+8.8486e-09j),(-0.20143+0.14369j),(-0.067146-0.15659j),(-0.051039+0.30505j),"(52,)",1,9,1.2535570619251926,12.36028368099226,11.106726619067068,-1.19793e-07,0.035952,44.184458217901515,47.896669199210045,(0.5656820781869014+0.5656717010700499j),0.5656820781869014,0.5656717010700499
1402,,,,,(-2.5912e-09-1.0158e-09j),(-1.0458e-08+4.9732e-10j),(-0.0078765-0.018043j),(-0.054757-0.049836j),"(52,)",2,9,-7.126584391880801,4.379055454044515,11.505639845925316,,,,,(9.993956025489367e-08-1.00040322239401e-07j),9.993956025489367e-08,-1.00040322239401e-07
1403,,,,,(-9.1728e-10+1.711e-09j),(-2.0704e-09+6.371e-09j),(-0.013157+0.0039772j),(-0.042221+0.021483j),"(52,)",3,9,-10.247410961573916,0.5001842806120044,10.74759524218592,,,,,(9.99417763338204e-08-1.0004383645627855e-07j),9.99417763338204e-08,-1.0004383645627855e-07
1404,1.101e-12,0.027498,-0.3,3.0,(0.070879+9.6164e-09j),(-0.095133+0.16466j),(-0.058954-0.033657j),(-7.339e-05+0.23771j),"(53,)",1,1,-6.824956818738851,10.073817199441834,16.89877401818069,-3.303e-13,0.08249400000000001,12.078079206422293,12.329894414801137,(0.6928162695306742+0.3999922351351611j),0.6928162695306742,0.3999922351351611
1405,,,,,(-6.6436e-10+3.956e-10j),(-1.6726e-09+2.3768e-09j),(-0.0052966-0.001347j),(-0.02025+0.0035111j),"(53,)",2,1,-18.25818319525278,-6.753160355336858,11.505022839915922,,,,,(9.994389113647327e-08-1.0004380265830759e-07j),9.994389113647327e-08,-1.0004380265830759e-07
1406,,,,,(2.6868e-10+4.1481e-10j),(1.1615e-09+1.2437e-09j),(-0.00073399+0.0034138j),(-0.00041724+0.012026j),"(53,)",3,1,-22.14927551466285,-11.402651372660467,10.746624142002384,,,,,(9.994637674051756e-08-1.0005002712715897e-07j),9.994637674051756e-08,-1.0005002712715897e-07
