,gammaTuple,power,harmonic,a1,b1,a2,b2,V1,I1,V2,I2,Gs,Gin,Pdel,Pin,Pout,Gain,PGain,Pdc1,Pdc2,PAE,drainEff,Load Gamma,r,jx
347,"(13,)",8,3,(-6.7415e-10+1.1706e-09j),(-0.0092244+0.0024853j),(-1.5728e-09+4.3823e-09j),(-0.029784+0.014033j),,,,,0,(5002196.71512565+4999290.179820641j),-43.40719687237132,-180.39818868704597,-32.659960079624916,147.73822860742104,10.747236792746406,,,,,(9.99445731097683e-08-1.0004625992313394e-07j),9.99445731097683e-08,-1.0004625992313394e-07
348,"(13,)",9,1,(0.17804+5.3367e-09j),(-0.054962-0.1795j),(-0.15305-0.063297j),(-0.15824+0.38263j),-0.3,3.8329e-07,3.0,0.037569,0,(-0.30870593900507215-1.0082003951501293j),-27.516797012439977,-17.999948244430108,-11.42622864639626,6.573719598033848,16.090568366043716,-1.14987e-07,0.112707,49.82678990257924,63.88902277187752,(-4.077736266657524e-06+0.39999645940199885j),-4.077736266657524e-06,0.39999645940199885
349,"(13,)",9,2,(-1.1611e-10-2.0302e-09j),(0.0095635-0.010726j),(-3.5192e-09-6.7831e-09j),(0.016347-0.051507j),,,,,0,(4997470.337163761+4996432.016967829j),-39.86093938896155,-176.84534151587457,-28.356180745272415,148.48916077060213,11.504758643689128,,,,,(9.994151881185482e-08-1.000435670494766e-07j),9.994151881185482e-08,-1.000435670494766e-07
350,"(13,)",9,3,(-8.8238e-10+1.3188e-09j),(-0.011007+0.0021794j),(-2.1914e-09+5.0105e-09j),(-0.036019+0.014078j),,,,,0,(4998971.279174611+5001522.386019037j),-42.009910425080655,-179.00003953261344,-31.26226606150194,147.73777347111147,10.747644363578722,,,,,(9.994250381836465e-08-1.0004468284086348e-07j),9.994250381836465e-08,-1.0004468284086348e-07
351,"(14,)",1,1,(0.070879+6.9244e-09j),(-0.052075-0.053699j),(-0.10429+0.03612j),(-0.052159+0.27094j),-0.3,5.0162e-11,3.0,0.033209,0,(-0.7347028773829969-0.7576150187308426j),-35.43971522813921,-25.99994832351404,-14.952031218671124,11.047917104842913,20.487684009468083,-1.50486e-11,0.09962700000000001,29.572381854316575,32.09370270157688,(0.2000027050621786+0.3464163981201071j),0.2000027050621786,0.3464163981201071
352,"(14,)",1,2,(-1.4632e-10-9.5397e-11j),(-0.00025547-0.0012093j),(-6.493e-10-1.0211e-10j),(-0.0027342-0.0037587j),,,,,0,(5006336.008890916+5000755.629851239j),-61.170000444211105,-198.1658593741289,-49.66502353783632,148.50083583629257,11.504976906374777,,,,,(9.994211096117228e-08-1.0004477085427483e-07j),9.994211096117228e-08,-1.0004477085427483e-07
353,"(14,)",1,3,(4.4157e-11+2.0229e-10j),(-0.00079107+0.0012335j),(2.7334e-10+6.5976e-10j),(-0.0019346+0.0046649j),,,,,0,(5005551.836777481+5003213.962413284j),-59.69134441082549,-196.68865523243971,-48.944222209364824,147.74443302307492,10.747122201460668,,,,,(9.994173232448272e-08-1.0004228929986588e-07j),9.994173232448272e-08,-1.0004228929986588e-07
354,"(14,)",2,1,(0.079527+7.307e-09j),(-0.055457-0.06197j),(-0.11229+0.037234j),(-0.059753+0.28967j),-0.3,1.0069e-09,3.0,0.032344,0,(-0.6973355677172444-0.7792321463725401j),-35.29283802172824,-25.000007959544863,-14.348388912224689,10.651619047320178,20.944449109503548,-3.0206999999999997e-10,0.097032,34.60671290089864,37.86571185433671,(0.19999326888824098+0.34639348984748486j),0.19999326888824098,0.34639348984748486
355,"(14,)",2,2,(-3.096e-10-1.326e-10j),(-0.00088377-0.002211j),(-1.2661e-09+2.0374e-11j),(-0.0064294-0.0062321j),,,,,0,(4996642.938523692+5001437.811213689j),-55.474798423045954,-192.46283226567658,-43.969842302387804,148.49298996328878,11.50495612065815,,,,,(9.994593234103493e-08-1.0004775639135282e-07j),9.994593234103493e-08,-1.0004775639135282e-07
356,"(14,)",2,3,(2.4356e-11+3.5148e-10j),(-0.0016335+0.0018775j),(2.9654e-10+1.176e-09j),(-0.0044014+0.0073609j),,,,,0,(4995659.022151489+4993667.551904864j),-55.09105879653502,-192.07148324142807,-44.34416787561085,147.72731536581722,10.74689092092417,,,,,(9.994167870246113e-08-1.0004528041965145e-07j),9.994167870246113e-08,-1.0004528041965145e-07
357,"(14,)",3,1,(0.089231+7.5818e-09j),(-0.058175-0.071624j),(-0.11953+0.037707j),(-0.067772+0.30592j),-0.3,7.458e-09,3.0,0.031228,0,(-0.6519595889966938-0.8026806273265209j),-35.58967696490268,-23.999984754759506,-13.847295163370404,10.152689591389105,21.742381801532275,-2.2373999999999997e-09,0.09368399999999999,39.76595804726525,44.015441075850745,(0.20000096275323875+0.3464158432017766j),0.20000096275323875,0.3464158432017766
358,"(14,)",3,2,(-5.0494e-10-2.1203e-10j),(-0.0014638-0.0035841j),(-2.0582e-09+4.8514e-11j),(-0.010529-0.010055j),,,,,0,(4998207.10361467+4999267.532420845j),-51.252723087452296,-188.2402293993884,-39.7477021258368,148.4925272735516,11.50502096161549,,,,,(9.993721980528422e-08-1.0004584909698288e-07j),9.993721980528422e-08,-1.0004584909698288e-07
